79,108,179,250,279,2020919_D7_d5_t1_2_5.02ms
79,108,179,250,279,2020919_D7_d5_t1_2_10.4m
82,111,182,253,282,2020919_d7_d5_t1_2_20.1ms
83,112,183,254,283,2020919_D7_d5_t1_2_50.2m
75,104,175,246,275,2020926_D7_d5_t2_2.1_5.02ms
82,111,182,253,282,2020926_D7_d5_t2_2.1_10.4ms
73,102,173,244,273,2020926_D7_d5_t2_2.1_20.1ms
85,114,185,256,285,2020926_D7_d5_t2_2.1_50.2ms
73,102,173,244,273,20200918_D7_d5_t3_2_5.02ms
79,108,179,250,279,20200918_D7_d5_t3_2_10.4ms
85,114,185,256,285,20200918_D7_d5_t3_2_20.1ms
80,109,180,251,280,20200918_D7_d5_t3_2_50.2ms
83,126,183,240,283,20200918_D7_d4_t1_2_5.02ms
79,122,179,236,279,20200918_D7_d4_t1_2_10.4ms
84,127,184,241,284,20200918_D7_d4_t1_2_20.1ms
86,129,186,243,286,20200918_D7_d4_t1_2_50.2ms
76,119,176,233,276,2020925_D7_d4_t2_1.4_5.02ms
86,129,186,243,286,2020925_D7_d4_t2_1.4_10.4ms
88,131,188,245,288,2020925_D7_d4_t2_1.4_20.1ms
84,127,184,241,284,2020925_D7_d4_t2_1.4_50.2ms
75,118,175,232,275,2020918_D7_d4_t3_2_5.02ms
75,118,175,232,275,2020918_D7_d4_t3_2_10.4ms
81,124,181,238,281,2020918_D7_d4_t3_2_20.1ms
82,125,182,239,282,2020918_D7_d4_t3_2_50.2ms
74,131,174,217,274,2020919_d7_d3_t1_5.02ms
73,130,173,216,273,2020919_d7_d3_t1_10.4ms
69,126,169,212,269,2020919_d7_d3_t1_20.1ms
74,131,174,217,274,2020919_d7_d3_t1_1_50.2ms
77,134,177,220,277,2020926_D7_d3_t2_1.9_5.02ms
74,131,174,217,274,2020926_D7_d3_t2_1.9_10.4ms
77,134,177,220,277,2020926_D7_d3_t2_1.9_20.1ms
73,130,173,216,273,2020926_D7_d3_t2_1.9_50.2ms
83,140,183,226,283,2020919_D7_d3_t3_5.02ms
78,135,178,221,278,2020919_D7_d3_t3_10.4ms
76,133,176,219,276,2020919_D7_d3_t3_20.1ms
76,133,176,219,276,2020919_D7_d3_t3_50.2ms